Job Title,Location,Qualifications,Salary
Digital Solutions Developer,"Hazen and Sawyer - 4.5
New York, NY","['ArcGIS', 'Computer science', 'Azure', 'Cloud architecture', 'Node.js', 'Computer Science', 'CSS', 'React', 'DevOps', 'C#', 'NoSQL', 'Mid-level', ""Master's degree"", 'SQL', ""Bachelor's degree"", 'JavaScript', 'Software development', 'Cloud computing', '1 year', 'Communication skills', 'Python', 'HTML']","$67,000 - $99,000 a year
2 days ago"
Software Engineer - DevOps,"Accrete - 3.0
New York, NY","['CI/CD', 'System administration', 'Azure', 'Management', 'Doctoral degree', 'Computer Science', 'Software Engineering', 'Kubernetes', 'Ansible', 'DevOps', 'UNIX', 'Mid-level', '3 years', 'Bash', 'AWS', 'Docker', 'Machine learning', 'Doctor of Philosophy', 'Terraform', 'Continuous integration', 'Scripting', 'Vulnerability management', 'IT', 'Construction', 'Linux', 'CircleCI', 'AI', 'Jenkins', 'GitLab', 'Python', 'Shell Scripting']","Full-time
$140,000 - $170,000 a year
2 days ago"
Media Platform Software Development Engineer,"Adobe - 4.3
New York, NY","['Computer science', 'Bachelor of Science', 'iOS', 'Mid-level', 'Windows', 'Java', 'Algorithms', 'C++', 'C', ""Bachelor's degree"", 'Machine learning', 'JavaScript', 'Distributed systems', 'Packaging', 'SDKs', 'Organizational skills', 'Data transformation', 'TypeScript', 'Communication skills', 'Design patterns']","Full-time
$76,000 - $152,200 a year
1 day ago"
Asset & Wealth Management- Associate- New York- Software Engineer,"Goldman Sachs - 3.9
New York, NY","['Node.js', 'CSS', 'React', 'Full-stack development', 'Relational databases', 'Data structures', 'NoSQL', 'MongoDB', 'Mid-level', 'Java', 'Algorithms', 'OOP', 'JavaScript', 'REST', 'Angular', 'Sybase', '2 years', 'HTML', 'SDLC', 'Design patterns']","Part-time | Full-time
$115,000 - $180,000 a year"
"Staff Software Engineer, Web Payments","Block, Inc. - 3.6
New York, NY","['React', 'Mid-level', 'AWS', 'JavaScript', 'SDKs', 'Mentoring', 'APIs', '1 year', 'Vue.js', 'TypeScript', 'Teaching']","Full-time
$185,200 - $326,800 a year
2 days ago"
Senior Software Engineer-Full Stack,"K. Hovnanian Homes - 3.4
New York, NY","['Full-stack development', '5 years', 'SQL', 'JavaScript', 'Product management', 'Organizational skills', 'Agile', 'Senior level', 'AI', 'Python', 'SDLC']","Full-time
$160,000 - $175,000 a year"
Cloud Engineer,"Intercontinental Exchange Holdings, Inc. - 3.3
New York, NY","['Cloud infrastructure', 'Azure', 'Full-stack development', 'Software deployment', 'DevOps', 'AWS Certification', 'Git', 'Google Cloud Platform', 'Mid-level', 'Bash', 'AWS', 'Docker', 'Terraform', 'Continuous integration', 'Splunk', 'Scripting', 'Agile', 'Linux', '2 years', 'Communication skills', 'Python', 'Shell Scripting']","Full-time
$118,500 - $159,700 a year
10 days ago"
"Software Engineer III, Gaming, AR","Google - 4.3
New York, NY","['Doctoral degree', 'Computer Science', 'Mid-level', 'Java', ""Master's degree"", 'C++', 'C', ""Bachelor's degree"", 'Doctor of Philosophy', 'JavaScript', 'Distributed systems', 'Natural language processing', 'Software development', '1 year', 'Distributed computing', 'AI', 'Python', 'Debugging']","Full-time
2 days ago"
Trading Java Developer,"Barclays - 3.9
New York, NY","['Jira', 'UNIX', 'Git', 'Test-driven development', 'Java', 'Confluence', 'Software development', 'Agile', 'Investment banking', 'Kafka', 'Unit testing', 'Senior level', 'Banking']","$135,000 - $180,000 a year"
Senior Engineer Backend (Java),"PayPal - 3.8
New York, NY","['Azure', 'Computer Science', 'NoSQL', 'Google Cloud Platform', '3 years', 'Java', 'Databases', 'SQL', 'Database design', 'AWS', ""Bachelor's degree"", 'Ruby on Rails', 'REST', 'Senior level', 'Python', 'Spring', 'Hibernate', 'Spring MVC']","Full-time
$72,700 - $176,000 a year
3 days ago"
Kubernetes Engineer,"QSS - 3.9
Manhattan, NY","['Kubernetes', 'Mid-level']","Full-time
Estimated: $106K - $122K a year
2 days ago"
"Software Engineer (JavaScript, Next.js, React)","Complex - 3.9
New York, NY","['Management', 'React', '5 years', 'Google Ad Manager', 'Google Tag Manager', 'JavaScript', 'SDKs', 'SEO', 'APIs', 'Front-end development', 'A/B testing', 'Martech', 'Senior level', 'Google Analytics', 'Debugging']","Full-time
$115,000 - $140,000 a year"
React Native Engineer,"Just Salad - 3.3
New York, NY","['React', 'iOS', 'Jest', 'Mid-level', 'E-commerce', '3 years', 'Project management', 'JavaScript', 'GitHub', 'Integration testing', 'React Native']","Full-time
$175,000 - $195,000 a year"
Software Engineer III (Core Java),"JPMorganChase - 3.9
New York, NY","['Management', 'React', 'Mid-level', '3 years', 'Java', 'SQL', 'PostgreSQL', 'Angular', 'Sybase', 'Web services', 'Kafka', 'Communication skills', 'Spring', 'Design patterns']","Full-time
$133,000 - $185,000 a year"
Front-end Angular Developer,"Intone Networks - 4.1
New York, NY","['Mid-level', 'Angular', '2 years']","Contract
Estimated: $108K - $134K a year"
"Associate, Java/Scala Developer","Morgan Stanley - 3.8
New York, NY","['CI/CD', 'Computer Science', 'RESTful API', '5 years', 'UNIX', 'Git', 'Java', 'SQL', ""Bachelor's degree"", 'Scala', 'Splunk', 'Computer Engineering', 'IT', 'Linux', 'Senior level', 'Jenkins', 'Python', 'Shell Scripting']","$158,000 a year"
Software Engineer III - C#/.Net - Neovest - New York,"JPMorganChase - 3.9
New York, NY","['CI/CD', 'Software troubleshooting', 'Trading', 'React', 'C#', 'English', 'UI design', '.NET', '3 years', 'SOAP', 'Redis', 'RabbitMQ', 'REST', 'Angular', 'Software development', 'Agile', 'Portfolio management', 'Kafka', 'Senior level', 'TypeScript', 'Debugging']","Full-time
$133,000 - $185,000 a year
10 days ago"
