"Standardized Job Title","Salary","Company Name","Qualifications","Job Title","Company Location"
"Frontend Developer","90000","Manhattan Institute for Policy Research - 3.7","['CI/CD', 'Business intelligence', 'CSS', 'WordPress', 'Web development', '5 years', 'Writing skills', 'Tableau', 'AWS', 'JavaScript', 'Front-end development', 'Senior level', 'LAMP stack', 'Communication skills']","Front End Web Developer","New York, NY"
"Frontend Developer","130000","Sunbound - 3.0","['Computer science', 'React', 'Web development', 'Bachelor of Science', 'Writing skills', ""Master's degree"", 'Senior care', ""Bachelor's degree"", 'Redux', 'Software development', 'Senior level', '4 years', 'Figma', 'TypeScript', 'Communication skills']","Frontend Software Engineer III","New York, NY"
"Full Stack Developer","150000","Manhattan Institute for Policy Research - 3.7","['Web design', 'CI/CD', 'Cloud infrastructure', 'Business intelligence', 'Data lake', 'WordPress', 'Web development', 'Full-stack development', '5 years', 'Writing skills', 'Tableau', 'Snowflake', 'AWS', 'APIs', 'Senior level', 'LAMP stack', 'Communication skills']","Full-Stack Web Developer","New York, NY"
"Engineer","140000","US Mobile - 3.6","['CI/CD', 'Computer science', 'Cloud infrastructure', 'Management', 'Computer Science', 'Software Engineering', 'Kubernetes', 'DevOps', '5G', 'Git', 'Google Cloud Platform', 'Mid-level', 'Bash', 'Database administration', 'Docker', ""Bachelor's degree"", 'Terraform', 'Continuous integration', 'Scripting', 'Agile', 'CircleCI', 'Jenkins', 'GitLab', 'Communication skills', 'Python', 'PowerShell', 'Shell Scripting']","DevOps Engineer (NYC)","New York, NY"
"Frontend Developer","180000","Tarro - 3.0","['Rust', 'WebAssembly', 'CSS', 'React', 'Mid-level', 'Fundraising', 'S3', '2 years', 'Restaurant experience', 'TypeScript', 'HTML']","Frontend Engineer","Long Island City, NY"
"Developer","174350","Barclays - 3.9","['Microsoft Excel', 'Trading', 'Senior level', 'Python', 'SDLC']","Python Desk Developer","New York, NY"
"Software Engineer","200000","Point72 - 4.2","['CI/CD', 'C#', 'Test-driven development', 'Mid-level', '.NET', '3 years', 'SQL', 'Analysis skills', 'Software development', 'Agile', 'Financial services', 'Communication skills', 'SDLC']","Software Engineer, Macro Middle Office Technology","New York, NY"
"Full Stack Developer","128010","DEPARTMENT OF FINANCE - 4.0","['Spring Boot', 'CI/CD', 'Azure', 'Computer Science', 'CSS', 'Software troubleshooting', 'React', 'RESTful API', 'Full-stack development', 'DevOps', 'AWS Certification', 'Technical support', 'Java', ""Master's degree"", 'High school diploma or GED', 'SQL', 'Database design', 'AWS', 'Quality assurance', 'Docker', ""Bachelor's degree"", 'JavaScript', 'Computer skills', 'Linux', '1 year', 'Senior level', 'Project leadership', 'Spring', 'jQuery', 'Debugging', 'HTML']","Senior Full Stack Developer","Manhattan, NY"
"Backend Developer","120000","Medal - 3.4","['CI/CD', 'Elasticsearch', 'Kotlin', 'Cloud infrastructure', 'Management', 'Node.js', 'Salt', 'React', 'Kubernetes', 'RESTful API', 'Relational databases', 'C#', 'iOS', 'Git', 'Test-driven development', 'Google Cloud Platform', 'Java', 'AWS', 'C++', 'Docker', 'PostgreSQL', 'Terraform', 'Redis', 'RabbitMQ', 'REST', 'Redux', 'Memcached', 'GitHub', 'CircleCI', 'Swift', 'Senior level', 'Chef', 'Project leadership', 'Leadership', 'Python', 'MySQL']","Backend Engineer (Java), All Levels - NYC","New York, NY"
"Frontend Developer","90000","Longtail Education","['Svelte', 'Computer science', 'Computer Science', 'CSS', 'React', 'Bachelor of Science', 'Mid-level', 'Responsive web design', '3 years', ""Master's degree"", 'Analysis skills', ""Bachelor's degree"", 'JavaScript', 'Next.js', 'UI', 'Unit testing', 'TypeScript', 'Communication skills', 'HTML']","Lead Front-End Developer - E-Learning Group","New York, NY"
